epsilon_progress,nfe
0,0
17,100
84,1187
183,2187
255,3190
341,4191
430,5196
518,6197
598,7199
675,8201
762,9204
812,10209
848,11296
913,12385
991,13472
1042,14560
1072,15648
1107,16735
1137,17825
1171,18916
1199,20005
1230,21092
1263,22182
1281,23270
1312,24354
1333,25443
1358,26528
1392,27616
1431,28705
1462,29793
1486,30881
1504,31969
1523,33057
1548,34148
1565,35238
1580,36323
1598,37411
1610,38551
1653,39792
1697,41040
1733,42290
1758,43537
1778,44785
1805,46031
1827,47279
1848,48526
1869,49774
1896,51020
1917,52270
1932,53515
1958,54762
1985,56009
1993,57254
2010,58503
2028,59749
2050,60997
2066,62245
2077,63492
2093,64738
2110,65985
2126,67235
2138,68479
2156,69727
2173,70973
2192,72222
2214,73471
2220,74721
2232,75969
2244,77219
2264,78467
2294,79716
2309,80963
2332,82208
2356,83454
2379,84701
2402,85950
2420,87199
2441,88447
2457,89697
2483,90943
2506,92192
2534,93436
2552,94684
2567,95933
2593,97181
2619,98429
2638,99676
2659,100923
2685,102173
2709,103422
2733,104672
2763,105920
2784,107168
2804,108418
2823,109668
2835,110916
2858,112165
2882,113413
2906,114662
2928,115910
2953,117160
2970,118407
2990,119654
3005,120900
3018,122061
3058,123387
3110,124717
3153,126044
3180,127373
3211,128701
3242,130029
3261,131357
3281,132685
3312,134012
3333,135338
3357,136665
3383,137992
3402,139320
3420,140648
3443,141975
3468,143303
3490,144629
3513,145955
3541,147284
3563,148613
3587,149940
3614,151270
3635,152598
3659,153928
3678,155254
3697,156579
3718,157906
3730,159233
3748,160559
3762,161887
3776,163215
3785,164543
3797,165870
3817,167199
3831,168528
3847,169853
3856,171182
3869,172511
3891,173838
3907,175166
3920,176493
3935,177822
3952,179149
3978,180477
3998,181806
4015,183134
4034,184461
4046,185790
4073,187115
4088,188442
4099,189770
4115,191098
4137,192427
4153,193754
4168,195083
4192,196409
4210,197737
4223,199067
4242,200396
