,district,policy,irrigation_deficit
0,Irrigation District 2,Best Hydropower,[ 2.2   1.6   2.45  3.    3.55  5.5   9.6  12.75 12.7   9.45  4.6   1.3 ]
1,Irrigation District 2,Best Environment,[ 2.15  1.4   1.25  0.6   1.45  2.4   7.   11.   11.55  9.    4.55  1.3 ]
2,Irrigation District 2,Best Irrigation,[0.2 0.6 0.6 0.  0.9 0.9 0.2 0.7 0.9 0.  0.6 0.3]
0,Irrigation District 3,Best Hydropower,[0.7 0.8 0.8 0.8 0.3 0.7 0.4 0.2 0.4 0.6 0.  0.6]
1,Irrigation District 3,Best Environment,[0.7 0.8 0.8 0.8 0.3 0.7 0.4 0.2 0.4 0.6 0.  0.6]
2,Irrigation District 3,Best Irrigation,[0.7  0.8  0.8  0.8  0.3  0.7  0.4  0.2  0.4  0.6  0.15 0.6 ]
0,Irrigation District 4,Best Hydropower,[10.35  2.95  8.7  20.1  24.95 27.65 33.55 38.3  36.95 38.5  19.6  15.65]
1,Irrigation District 4,Best Environment,[11.85  3.5   9.   24.95 27.25 30.85 38.3  44.55 43.4  44.7  22.55 17.75]
2,Irrigation District 4,Best Irrigation,[0.1  0.4  0.3  0.1  0.7  0.2  0.8  0.3  0.95 0.8  0.3  0.2 ]
0,Irrigation District 5,Best Hydropower,[0.   0.   0.   0.   0.15 0.   0.   0.   0.   0.   0.   0.  ]
1,Irrigation District 5,Best Environment,[0.   0.   0.4  0.9  1.05 1.1  1.75 2.7  0.9  0.   0.   0.  ]
2,Irrigation District 5,Best Irrigation,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
0,Irrigation District 6,Best Hydropower,"[  8.35   5.25  38.05  61.45  63.3   67.1   96.05 130.4  135.3  111.55
  44.45  12.35]"
1,Irrigation District 6,Best Environment,"[  8.25   5.05  34.8   58.3   52.3   59.05  85.35 122.65 133.05 111.55
  45.25  12.45]"
2,Irrigation District 6,Best Irrigation,[0.1 0.5 0.5 0.4 0.9 0.1 0.1 0.8 0.5 1.4 2.5 0.5]
0,Irrigation District 7,Best Hydropower,[0.  0.  0.  0.  0.1 0.1 0.  0.1 0.  0.  0.  0. ]
1,Irrigation District 7,Best Environment,[0.   0.   0.   0.   0.   0.   0.1  0.05 0.   0.   0.   0.  ]
2,Irrigation District 7,Best Irrigation,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
0,Irrigation District 8,Best Hydropower,[0.  0.1 0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ]
1,Irrigation District 8,Best Environment,[0.1  0.1  0.2  0.5  0.   2.2  2.9  3.4  3.05 1.75 0.3  0.  ]
2,Irrigation District 8,Best Irrigation,[0.05 0.1  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  ]
0,Irrigation District 9,Best Hydropower,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1,Irrigation District 9,Best Environment,[0.  0.4 0.3 0.  0.  0.  0.  0.  0.  0.  0.  0. ]
2,Irrigation District 9,Best Irrigation,[0.4  0.15 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  ]
